Country	Type	Mountain	Latitude	Longitude	Elevation
India	Mountain	Shukpa Kunchang Mountain	34.7998508	77.9001084	6001 m
India	Mountain	Kunsang Mountain	34.4622078	77.9840994	5082 m
India	Mountain	Stok Kangari Mountain	33.987062	77.440636	5938 m
India	Mountain	Tor Devata Mountain	33.703816	74.025649	4566 m
India	Mountain	Pir Maranot Ghazir Mountain	33.716019	74.111233	2027 m
India	Mountain	Sanala Mal Mountain	33.508091	74.178099	1175 m
India	Mountain	Tatakuti Mountain	33.749447	74.483356	3997 m
India	Mountain	Savid Fajal Shah Mountain	33.524765	74.200382	2012 m
India	Mountain	Pir Satawan Mountain	33.246902	74.016592	3551 m
India	Mountain	Bagla Gala Mountain	33.310495	74.147928	1398 m
India	Mountain	Khalabat Mountain	33.283431	74.156066	1274 m
India	Mountain	Duranni Gala Mountain	33.271888	74.13614	1016 m
India	Mountain	Kallar Gala Mountain	33.254192	74.158506	3138 m
India	Mountain	Tang Ni Dhar Mountain	33.211032	74.150075	929 m
India	Mountain	Koti Dhar Mountain	33.149677	74.152698	1683 m
India	Mountain	Batrai Gala Mountain	33.360938	74.202675	4136 m
India	Mountain	Ambli Dhar Mountain	33.194352	74.205489	977 m
India	Mountain	Tain Dhar Mountain	33.185943	74.23612	3215 m
India	Mountain	Koman Gosma Dhar Mountain	33.119014	74.200061	3228 m
India	Mountain	Thil Mountain	33.121139	74.441968	2746 m
India	Mountain	Sanker Mountain	33.127635	74.451765	3072 m
India	Mountain	Mathhi Bhaur Mountain	32.978618	74.407671	571 m
India	Mountain	Nathuan Tibba Mountain	32.927579	74.383018	1757 m
India	Mountain	Buchahe Mountain	32.897012	74.442134	472 m
India	Mountain	Chinota Mountain	32.894387	74.480799	391 m
India	Mountain	Pir Panjal Mountain	33.415762	75.584088	2670 m
India	Mountain	Sireali Mountain	32.897146	74.57509	1535 m
India	Mountain	Tam Ka Tilla Mountain	32.89158	74.549968	496 m
India	Mountain	Thinda Mountain	32.891435	74.584529	443 m
India	Mountain	Trikta Mountain	33.032897	74.967107	2184 m
India	Mountain	Danda Mountain	32.867545	74.944293	2065 m
India	Mountain	Bhagavangarh Mountain	32.691394	74.949962	1949 m
India	Mountain	Zaskar Mountain	33.249256	77.666154	4547 m
India	Mountain	Chumik Mountain	32.671497	78.248242	5392 m
India	Mountain	Shilla Mountain	32.405053	78.200948	5916 m
India	Mountain	Solasinghi Mountain	31.645213	76.383902	2048 m
India	Mountain	Jakko Mountain	31.099073	77.18407	2000 m
India	Mountain	Deo Tibbo Mountain	32.199569	77.385005	6001 m
India	Mountain	Leo Pargial Mountain	31.884926	78.739964	6451 m
India	Mountain	Kidarkanta Mountain	31.020415	78.168967	3465 m
India	Mountain	Swargarohini	31.084444	78.516111	6252 m
India	Mountain	Yamunotri	31.021331	78.41071	4421 m
India	Mountain	Lalariyo Mountain	28.595951	74.510591	779 m
India	Mountain	Gogana Mountain	28.735892	74.697075	748 m
India	Mountain	Tain Mountain	28.678271	74.740944	781 m
India	Mountain	Morchhaliyo Mountain	30.666155	77.083262	2625 m
India	Mountain	Karn Ka Tilla	29.949116	76.804571	858 m
India	Mountain	Chur Mountain	30.8360315	77.5424138	3010 m
India	Mountain	Mussorie Mountain	30.71512	77.41936	2500 m
India	Mountain	Nag Tibba Mountain	30.570672	78.146244	2885 m
India	Mountain	Khudana Mountain	28.396506	76.097652	1564 m
India	Mountain	Maniara Mountain	23.483162	68.618068	163 m
India	Mountain	Jhaura Mountain	23.399427	69.583775	512 m
